signal_name,direction,width,safe_state,tie_off
mac_phy_txdata,mac2phy,32,0,0
mac_phy_txdatak,mac2phy,4,0,0
mac_phy_txdatavalid,mac2phy,1,0,0
mac_phy_txstartblock,mac2phy,1,0,0
mac_phy_txsyncheader,mac2phy,2,0,0
mac_phy_txdetectrx_loopback,mac2phy,1,0,0
mac_phy_txelecidle,mac2phy,1,1,1
mac_phy_txcompliance,mac2phy,1,0,0
mac_phy_txdeemph,mac2phy,18,0,0
mac_phy_rxpolarity,mac2phy,1,0,0
mac_phy_rxstandby,mac2phy,1,1,1
mac_phy_messagebus,mac2phy,8,0,0
mac_phy_rxpresethint,mac2phy,3,0,0
mac_phy_local_pset_index,mac2phy,5,0,0
mac_phy_getlocal_pset_coef,mac2phy,1,0,0
mac_phy_invalid_req,mac2phy,1,0,0
mac_phy_rxeqeval,mac2phy,1,0,0
mac_phy_fs,mac2phy,6,0,0
mac_phy_lf,mac2phy,6,0,0
mac_phy_dirchange,mac2phy,1,0,0
mac_phy_rxeqinprogress,mac2phy,1,0,0
phy_mac_rxdata,phy2mac,32,0,0
phy_mac_rxdatak,phy2mac,4,0,0
phy_mac_rxdatavalid,phy2mac,1,0,0
phy_mac_rxstartblock,phy2mac,1,0,0
phy_mac_rxsyncheader,phy2mac,2,0,0
phy_mac_rxvalid,phy2mac,1,0,0
phy_mac_rxstatus,phy2mac,3,0,0
phy_mac_rxelecidle,phy2mac,1,1,1
phy_mac_rxstandbystatus,phy2mac,1,1,1
phy_mac_messagebus,phy2mac,8,0,0
phy_mac_phystatus,phy2mac,1,0,lane0
phy_mac_local_tx_coef_valid,phy2mac,1,0,0
phy_mac_local_tx_pset_coef,phy2mac,18,0,0
phy_mac_localfs,phy2mac,6,0,0
phy_mac_locallf,phy2mac,6,0,0
phy_mac_dirfeedback,phy2mac,6,0,0
phy_mac_fomfeedback,phy2mac,8,0,0
