signal_name,direction,base_width,safe_level,sel_src
TxData,mac2phy,32,0,sel
TxDataK,mac2phy,4,0,sel
TxStartBlock,mac2phy,1,0,sel
TxSyncHeader,mac2phy,2,0,sel
TxElecIdle,mac2phy,1,1,sel
TxCompliance,mac2phy,1,0,sel
TxDeemph,mac2phy,1,0,sel
TxDetectRx,mac2phy,1,0,sel
PowerDown,mac2phy,3,2,sel
Rate,mac2phy,3,0,sel
PhyMode,mac2phy,3,0,sel
ResetN,mac2phy,1,1,sel_tgt
RxData,phy2mac,32,0,sel
RxDataK,phy2mac,4,0,sel
RxValid,phy2mac,1,0,sel
RxStatus,phy2mac,3,0,sel
RxElecIdle,phy2mac,1,1,sel
RxStartBlock,phy2mac,1,0,sel
RxSyncHeader,phy2mac,2,0,sel
PhyStatus,phy2mac,1,0,sel
